Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,RoleTenureRatio,ManagerTenureRatio,IncomeTenureRatio,IncomeTotalWorkRatio,RoleTenureRatio_was_nan,ManagerTenureRatio_was_nan,IncomeTenureRatio_was_nan,IncomeTotalWorkRatio_was_nan
37,No,Travel_Rarely,408,Research & Development,19,2-College,Life Sciences,2-Medium,Male,73,3-High,1,Research Scientist,2-Medium,Married,3022,10227,4,No,21,4-Outstanding,1-Low,0,8,1,3-Better,1,0,0,0,0.0,0.0,3022.0,377.75,0,0,0,0
46,No,Travel_Frequently,1211,Sales,5,4-Master,Marketing,1-Low,Male,98,3-High,2,Sales Executive,4-Very High,Single,5772,20445,4,Yes,21,4-Outstanding,3-High,0,14,4,3-Better,9,6,0,8,0.67,0.89,641.33,412.29,0,0,0,0
35,No,Travel_Rarely,1229,Research & Development,8,1-Below College,Life Sciences,4-Very High,Male,36,4-Very High,1,Laboratory Technician,4-Very High,Married,2269,4892,1,No,19,3-Excellent,4-Very High,0,1,2,3-Better,1,0,0,1,0.0,1.0,2269.0,2269.0,0,0,0,0
48,Yes,Travel_Rarely,626,Research & Development,1,2-College,Life Sciences,1-Low,Male,98,2-Medium,3,Laboratory Technician,3-High,Single,5381,19294,9,Yes,13,3-Excellent,4-Very High,0,23,2,3-Better,1,0,0,0,0.0,0.0,5381.0,233.96,0,0,0,0
28,Yes,Travel_Rarely,1434,Research & Development,5,4-Master,Technical Degree,3-High,Male,50,3-High,1,Laboratory Technician,3-High,Single,3441,11179,1,Yes,13,3-Excellent,3-High,0,2,3,2-Good,2,2,2,2,1.0,1.0,1720.5,1720.5,0,0,0,0
44,No,Travel_Rarely,1488,Sales,1,5-Doctor,Marketing,2-Medium,Female,75,3-High,2,Sales Executive,1-Low,Divorced,5454,4009,5,Yes,21,4-Outstanding,3-High,1,9,2,2-Good,4,3,1,3,0.75,0.75,1363.5,606.0,0,0,0,0
35,No,Non-Travel,1097,Research & Development,11,2-College,Medical,3-High,Male,79,2-Medium,3,Healthcare Representative,1-Low,Married,9884,8302,2,Yes,13,3-Excellent,3-High,1,10,3,3-Better,4,0,2,3,0.0,0.75,2471.0,988.4,0,0,0,0
26,No,Travel_Rarely,1443,Sales,23,3-Bachelor,Marketing,3-High,Female,47,2-Medium,2,Sales Executive,4-Very High,Married,4157,21436,7,Yes,19,3-Excellent,3-High,1,5,2,2-Good,2,2,0,0,1.0,0.0,2078.5,831.4,0,0,0,0
33,No,Travel_Frequently,515,Research & Development,1,2-College,Life Sciences,1-Low,Female,98,3-High,3,Research Director,4-Very High,Single,13458,15146,1,Yes,12,3-Excellent,3-High,0,15,1,3-Better,15,14,8,12,0.93,0.8,897.2,897.2,0,0,0,0
35,No,Travel_Frequently,853,Sales,18,5-Doctor,Life Sciences,2-Medium,Male,71,3-High,3,Sales Executive,1-Low,Married,9069,11031,1,No,22,4-Outstanding,4-Very High,1,9,3,2-Good,9,8,1,8,0.89,0.89,1007.67,1007.67,0,0,0,0
35,No,Travel_Rarely,1142,Research & Development,23,4-Master,Medical,3-High,Female,30,3-High,1,Laboratory Technician,1-Low,Married,4014,16002,3,Yes,15,3-Excellent,3-High,1,4,3,3-Better,2,2,2,2,1.0,1.0,2007.0,1003.5,0,0,0,0
31,No,Travel_Rarely,655,Research & Development,7,4-Master,Life Sciences,4-Very High,Male,48,3-High,2,Laboratory Technician,4-Very High,Divorced,5915,9528,3,No,22,4-Outstanding,4-Very High,1,10,3,2-Good,7,7,1,7,1.0,1.0,845.0,591.5,0,0,0,0
37,No,Travel_Rarely,1115,Research & Development,1,4-Master,Life Sciences,1-Low,Male,51,2-Medium,2,Manufacturing Director,3-High,Divorced,5993,2689,1,No,18,3-Excellent,3-High,1,7,2,4-Best,7,5,0,7,0.71,1.0,856.14,856.14,0,0,0,0
32,No,Travel_Rarely,427,Research & Development,1,3-Bachelor,Medical,1-Low,Male,33,3-High,2,Manufacturing Director,4-Very High,Married,6162,10877,1,Yes,22,4-Outstanding,2-Medium,1,9,3,3-Better,9,8,7,8,0.89,0.89,684.67,684.67,0,0,0,0
38,No,Travel_Frequently,653,Research & Development,29,5-Doctor,Life Sciences,4-Very High,Female,50,3-High,2,Laboratory Technician,4-Very High,Single,2406,5456,1,No,11,3-Excellent,4-Very High,0,10,2,3-Better,10,3,9,9,0.3,0.9,240.6,240.6,0,0,0,0
50,No,Travel_Rarely,989,Research & Development,7,2-College,Medical,2-Medium,Female,43,2-Medium,5,Research Director,3-High,Divorced,18740,16701,5,Yes,12,3-Excellent,4-Very High,1,29,2,2-Good,27,3,13,8,0.11,0.3,694.07,646.21,0,0,0,0
59,No,Travel_Rarely,1435,Sales,25,3-Bachelor,Life Sciences,1-Low,Female,99,3-High,3,Sales Executive,1-Low,Single,7637,2354,7,No,11,3-Excellent,4-Very High,0,28,3,2-Good,21,16,7,9,0.76,0.43,363.67,272.75,0,0,0,0
36,No,Travel_Rarely,1223,Research & Development,8,3-Bachelor,Technical Degree,3-High,Female,59,3-High,3,Healthcare Representative,3-High,Divorced,10096,8202,1,No,13,3-Excellent,2-Medium,3,17,2,3-Better,17,14,12,8,0.82,0.47,593.88,593.88,0,0,0,0
55,No,Travel_Rarely,836,Research & Development,8,3-Bachelor,Medical,4-Very High,Female,33,3-High,4,Manager,3-High,Divorced,14756,19730,2,Yes,14,3-Excellent,3-High,3,21,2,3-Better,5,0,0,2,0.0,0.4,2951.2,702.67,0,0,0,0
36,No,Travel_Frequently,1195,Research & Development,11,3-Bachelor,Life Sciences,2-Medium,Male,95,2-Medium,2,Manufacturing Director,2-Medium,Single,6499,22656,1,No,13,3-Excellent,3-High,0,6,3,3-Better,6,5,0,3,0.83,0.5,1083.17,1083.17,0,0,0,0
45,No,Travel_Rarely,1339,Research & Development,7,3-Bachelor,Life Sciences,2-Medium,Male,59,3-High,3,Research Scientist,1-Low,Divorced,9724,18787,2,No,17,3-Excellent,3-High,1,25,2,3-Better,1,0,0,0,0.0,0.0,9724.0,388.96,0,0,0,0
35,No,Travel_Frequently,664,Research & Development,1,3-Bachelor,Medical,2-Medium,Male,79,3-High,1,Research Scientist,1-Low,Married,2194,5868,4,No,13,3-Excellent,4-Very High,1,5,2,2-Good,3,2,1,2,0.67,0.67,731.33,438.8,0,0,0,0
36,Yes,Travel_Rarely,318,Research & Development,9,3-Bachelor,Medical,4-Very High,Male,79,2-Medium,1,Research Scientist,3-High,Married,3388,21777,0,Yes,17,3-Excellent,1-Low,1,2,0,2-Good,1,0,0,0,0.0,0.0,3388.0,1694.0,0,0,0,0
59,No,Travel_Frequently,1225,Sales,1,1-Below College,Life Sciences,1-Low,Female,57,2-Medium,2,Sales Executive,3-High,Single,5473,24668,7,No,11,3-Excellent,4-Very High,0,20,2,2-Good,4,3,1,3,0.75,0.75,1368.25,273.65,0,0,0,0
29,No,Travel_Rarely,1328,Research & Development,2,3-Bachelor,Life Sciences,3-High,Male,76,3-High,1,Research Scientist,2-Medium,Married,2703,4956,0,No,23,4-Outstanding,4-Very High,1,6,3,3-Better,5,4,0,4,0.8,0.8,540.6,450.5,0,0,0,0
31,No,Travel_Rarely,1082,Research & Development,1,4-Master,Medical,3-High,Male,87,3-High,1,Research Scientist,2-Medium,Single,2501,18775,1,No,17,3-Excellent,2-Medium,0,1,4,3-Better,1,1,1,0,1.0,0.0,2501.0,2501.0,0,0,0,0
32,No,Travel_Rarely,548,Research & Development,1,3-Bachelor,Life Sciences,2-Medium,Male,66,3-High,2,Research Scientist,2-Medium,Married,6220,7346,1,No,17,3-Excellent,2-Medium,2,10,3,3-Better,10,4,0,9,0.4,0.9,622.0,622.0,0,0,0,0
36,No,Travel_Rarely,132,Research & Development,6,3-Bachelor,Life Sciences,2-Medium,Female,55,4-Very High,1,Laboratory Technician,4-Very High,Married,3038,22002,3,No,12,3-Excellent,2-Medium,0,5,3,3-Better,1,0,0,0,0.0,0.0,3038.0,607.6,0,0,0,0
31,No,Travel_Rarely,746,Research & Development,8,4-Master,Life Sciences,3-High,Female,61,3-High,2,Manufacturing Director,4-Very High,Single,4424,20682,1,No,23,4-Outstanding,4-Very High,0,11,2,3-Better,11,7,1,8,0.64,0.73,402.18,402.18,0,0,0,0
35,No,Travel_Rarely,776,Sales,1,4-Master,Marketing,3-High,Male,32,2-Medium,2,Sales Executive,1-Low,Single,4312,23016,0,No,14,3-Excellent,2-Medium,0,16,2,3-Better,15,13,2,8,0.87,0.53,287.47,269.5,0,0,0,0
45,No,Travel_Rarely,193,Research & Development,6,4-Master,Other,4-Very High,Male,52,3-High,3,Research Director,1-Low,Married,13245,15067,4,Yes,14,3-Excellent,2-Medium,0,17,3,4-Best,0,0,0,0,0.0,0.0,0.0,779.12,0,0,0,0
37,No,Travel_Rarely,397,Research & Development,7,4-Master,Medical,1-Low,Male,30,3-High,3,Research Director,3-High,Single,13664,25258,4,No,13,3-Excellent,1-Low,0,16,3,4-Best,5,2,0,2,0.4,0.4,2732.8,854.0,0,0,0,0
46,No,Travel_Rarely,945,Human Resources,5,2-College,Medical,2-Medium,Male,80,3-High,2,Human Resources,2-Medium,Divorced,5021,10425,8,Yes,22,4-Outstanding,4-Very High,1,16,2,3-Better,4,2,0,2,0.5,0.5,1255.25,313.81,0,0,0,0
30,No,Travel_Rarely,852,Research & Development,1,1-Below College,Life Sciences,4-Very High,Male,55,2-Medium,2,Laboratory Technician,4-Very High,Married,5126,15998,1,Yes,12,3-Excellent,3-High,2,10,1,2-Good,10,8,3,0,0.8,0.0,512.6,512.6,0,0,0,0
35,No,Travel_Rarely,1214,Research & Development,1,3-Bachelor,Medical,2-Medium,Male,30,2-Medium,1,Research Scientist,3-High,Single,2859,26278,1,No,18,3-Excellent,1-Low,0,6,3,3-Better,6,4,0,4,0.67,0.67,476.5,476.5,0,0,0,0
55,No,Travel_Rarely,111,Sales,1,2-College,Life Sciences,1-Low,Male,70,3-High,3,Sales Executive,4-Very High,Married,10239,18092,3,No,14,3-Excellent,4-Very High,1,24,4,3-Better,1,0,1,0,0.0,0.0,10239.0,426.62,0,0,0,0
38,No,Non-Travel,573,Research & Development,6,3-Bachelor,Medical,2-Medium,Female,79,1-Low,2,Research Scientist,4-Very High,Divorced,5329,15717,7,Yes,12,3-Excellent,4-Very High,3,17,3,3-Better,13,11,1,9,0.85,0.69,409.92,313.47,0,0,0,0
34,No,Travel_Rarely,1153,Research & Development,1,2-College,Medical,1-Low,Male,94,3-High,2,Manufacturing Director,2-Medium,Married,4325,17736,1,No,15,3-Excellent,3-High,0,5,2,3-Better,5,2,1,3,0.4,0.6,865.0,865.0,0,0,0,0
56,No,Travel_Rarely,1400,Research & Development,7,3-Bachelor,Life Sciences,4-Very High,Male,49,1-Low,3,Manufacturing Director,4-Very High,Single,7260,21698,4,No,11,3-Excellent,1-Low,0,37,3,2-Good,6,4,0,2,0.67,0.33,1210.0,196.22,0,0,0,0
23,No,Travel_Rarely,541,Sales,2,1-Below College,Technical Degree,3-High,Male,62,3-High,1,Sales Representative,1-Low,Divorced,2322,9518,3,No,13,3-Excellent,3-High,1,3,3,3-Better,0,0,0,0,0.0,0.0,0.0,774.0,0,0,0,0
51,No,Travel_Rarely,432,Research & Development,9,4-Master,Life Sciences,4-Very High,Male,96,3-High,1,Laboratory Technician,4-Very High,Married,2075,18725,3,No,23,4-Outstanding,2-Medium,2,10,4,3-Better,4,2,0,3,0.5,0.75,518.75,207.5,0,0,0,0
30,No,Travel_Rarely,288,Research & Development,2,3-Bachelor,Life Sciences,3-High,Male,99,2-Medium,2,Healthcare Representative,4-Very High,Married,4152,15830,1,No,19,3-Excellent,1-Low,3,11,3,3-Better,11,10,10,8,0.91,0.73,377.45,377.45,0,0,0,0
46,Yes,Travel_Rarely,669,Sales,9,2-College,Medical,3-High,Male,64,2-Medium,3,Sales Executive,4-Very High,Single,9619,13596,1,No,16,3-Excellent,4-Very High,0,9,3,3-Better,9,8,4,7,0.89,0.78,1068.78,1068.78,0,0,0,0
40,No,Travel_Frequently,530,Research & Development,1,4-Master,Life Sciences,3-High,Male,78,2-Medium,4,Healthcare Representative,2-Medium,Married,13503,14115,1,No,22,4-Outstanding,4-Very High,1,22,3,2-Good,22,3,11,11,0.14,0.5,613.77,613.77,0,0,0,0
51,No,Travel_Rarely,632,Sales,21,4-Master,Marketing,3-High,Male,71,3-High,2,Sales Executive,4-Very High,Single,5441,8423,0,Yes,22,4-Outstanding,4-Very High,0,11,2,1-Bad,10,7,1,0,0.7,0.0,544.1,494.64,0,0,0,0
30,No,Travel_Rarely,1334,Sales,4,2-College,Medical,3-High,Female,63,2-Medium,2,Sales Executive,2-Medium,Divorced,5209,19760,1,Yes,12,3-Excellent,2-Medium,3,11,4,2-Good,11,8,2,7,0.73,0.64,473.55,473.55,0,0,0,0
46,No,Travel_Frequently,638,Research & Development,1,3-Bachelor,Medical,3-High,Male,40,2-Medium,3,Healthcare Representative,1-Low,Married,10673,3142,2,Yes,13,3-Excellent,3-High,1,21,5,2-Good,10,9,9,5,0.9,0.5,1067.3,508.24,0,0,0,0
32,No,Travel_Rarely,1093,Sales,6,4-Master,Medical,2-Medium,Male,87,3-High,2,Sales Executive,3-High,Single,5010,24301,1,No,16,3-Excellent,1-Low,0,12,0,3-Better,11,8,5,7,0.73,0.64,455.45,417.5,0,0,0,0
54,No,Travel_Rarely,1217,Research & Development,2,4-Master,Technical Degree,1-Low,Female,60,3-High,3,Research Director,3-High,Married,13549,24001,9,No,12,3-Excellent,1-Low,1,16,5,1-Bad,4,3,0,3,0.75,0.75,3387.25,846.81,0,0,0,0
24,No,Travel_Rarely,1353,Sales,3,2-College,Other,1-Low,Female,33,3-High,2,Sales Executive,3-High,Married,4999,17519,0,No,21,4-Outstanding,1-Low,1,4,2,2-Good,3,2,0,2,0.67,0.67,1666.33,1249.75,0,0,0,0
